controlId;t;charge;discharge;soc;duration;residual
3792;07.06.2015 00:27;0;0.243155167;73.45076475;15;0.243155167
3793;07.06.2015 00:27;0;0.24326568;73.42919864;15;0.24326568
3794;07.06.2015 00:28;0;0.245128444;73.4074674;15;0.245128444
3795;07.06.2015 00:28;0;0.243671269;73.38586533;15;0.243671269
3796;07.06.2015 00:28;0;0.243726457;73.36425838;15;0.243726457
3797;07.06.2015 00:28;0;0.243950512;73.34263156;15;0.243950512
3798;07.06.2015 00:29;0;0.244007005;73.32099973;15;0.244007005
3799;07.06.2015 00:29;0;0.243864678;73.29938052;15;0.243864678
3800;07.06.2015 00:29;0;0.244329117;73.27772014;15;0.244329117
3801;07.06.2015 00:29;0;0.243912669;73.25609668;15;0.243912669
3802;07.06.2015 00:30;0;0.244345387;73.23443485;15;0.244345387
3803;07.06.2015 00:30;0;0.244082909;73.2127963;15;0.244082909
3804;07.06.2015 00:30;0;0.244182207;73.19114894;15;0.244182207
3805;07.06.2015 00:30;0;0.243967048;73.16952065;15;0.243967048
3806;07.06.2015 00:31;0;0.244556502;73.14784011;15;0.244556502
3807;07.06.2015 00:31;0;0.244626975;73.12615332;15;0.244626975
3808;07.06.2015 00:31;0;0.244485104;73.10447911;15;0.244485104
3809;07.06.2015 00:31;0;0.244325791;73.08281902;15;0.244325791
3810;07.06.2015 00:32;0;0.244855971;73.06111194;15;0.244855971
3811;07.06.2015 00:32;0;0.346002092;73.03043799;15;0.346002092
3812;07.06.2015 00:32;0;0.263911927;73.00704154;15;0.263911927
3813;07.06.2015 00:32;0;0.264044893;72.98363331;15;0.264044893
3814;07.06.2015 00:33;0;0.264745033;72.960163;15;0.264745033
3815;07.06.2015 00:33;0;0.26414885;72.93674555;15;0.26414885
3816;07.06.2015 00:33;0;0.264439264;72.91330236;15;0.264439264
3817;07.06.2015 00:33;0;0.26415892;72.88988401;15;0.26415892
3818;07.06.2015 00:34;0;0.312051319;72.86221989;15;0.312051319
3819;07.06.2015 00:34;0;0.388142681;72.82781008;15;0.388142681
3820;07.06.2015 00:34;0;0.38883255;72.7933391;15;0.38883255
3821;07.06.2015 00:34;0;0.585625262;72.74142197;15;0.585625262
3822;07.06.2015 00:35;0;0.65850817;72.68304359;15;0.65850817
3823;07.06.2015 00:35;0;0.763109615;72.61539203;15;0.763109615
3824;07.06.2015 00:35;0;0.762933968;72.54775604;15;0.762933968
3825;07.06.2015 00:35;0;0.759533238;72.48042153;15;0.759533238
3826;07.06.2015 00:36;0;0.753476339;72.41362398;15;0.753476339
3827;07.06.2015 00:36;0;0.68982245;72.35246951;15;0.68982245
3828;07.06.2015 00:36;0;0.692041915;72.29111827;15;0.692041915
3829;07.06.2015 00:36;0;0.689400655;72.2300012;15;0.689400655
3830;07.06.2015 00:37;0;0.73576705;72.16477362;15;0.73576705
3831;07.06.2015 00:37;0;0.733378709;72.09975778;15;0.733378709
3832;07.06.2015 00:37;0;0.711983736;72.03663865;15;0.711983736
3833;07.06.2015 00:37;0;0.83689598;71.96244575;15;0.83689598
3834;07.06.2015 00:38;0;0.775482746;71.89369728;15;0.775482746
3835;07.06.2015 00:38;0;0.775886286;71.82491303;15;0.775886286
3836;07.06.2015 00:38;0;0.648318624;71.76743797;15;0.648318624
3837;07.06.2015 00:38;0;0.487281977;71.72423922;15;0.487281977
3838;07.06.2015 00:39;0;0.48721779;71.68104615;15;0.48721779
3839;07.06.2015 00:39;0;0.639244326;71.62437556;15;0.639244326
3840;07.06.2015 00:39;0;0.639742102;71.56766083;15;0.639742102
3841;07.06.2015 00:39;0;0.639840984;71.51093734;15;0.639840984
3842;07.06.2015 00:40;0;0.640957289;71.45411488;15;0.640957289
3843;07.06.2015 00:40;0;0.750713884;71.38756223;15;0.750713884
3844;07.06.2015 00:40;0;0.747787538;71.32126901;15;0.747787538
3845;07.06.2015 00:40;0;0.750625919;71.25472416;15;0.750625919
3846;07.06.2015 00:41;0;0.747907961;71.18842026;15;0.747907961
3847;07.06.2015 00:41;0;0.750374602;71.12189769;15;0.750374602
3848;07.06.2015 00:41;0;0.748001899;71.05558547;15;0.748001899
3849;07.06.2015 00:41;0;0.750156153;70.98908226;15;0.750156153
3850;07.06.2015 00:42;0;0.752660383;70.92235705;15;0.752660383
3851;07.06.2015 00:42;0;0.752287437;70.8556649;15;0.752287437
3852;07.06.2015 00:42;0;2.864280928;70.60173929;15;2.864280928
3853;07.06.2015 00:42;0;2.848184404;70.34924067;15;2.848184404
3854;07.06.2015 00:43;0;2.850112084;70.09657116;15;2.850112084
3855;07.06.2015 00:43;0;2.84656814;69.84421583;15;2.84656814
3856;07.06.2015 00:43;0;2.847942258;69.59173868;15;2.847942258
3857;07.06.2015 00:43;0;2.842413289;69.33975169;15;2.842413289
3858;07.06.2015 00:44;0;2.84216804;69.08778643;15;2.84216804
3859;07.06.2015 00:44;0;2.888977755;68.83167138;15;2.888977755
3860;07.06.2015 00:44;0;0.842744885;68.75695996;15;0.842744885
3861;07.06.2015 00:44;0;0.856964709;68.68098791;15;0.856964709
3862;07.06.2015 00:45;0;0.845887793;68.60599786;15;0.845887793
3863;07.06.2015 00:45;0;0.679226954;68.5457827;15;0.679226954
3864;07.06.2015 00:45;0;0.676720551;68.48578974;15;0.676720551
3865;07.06.2015 00:45;0;0.671350965;68.42627282;15;0.671350965
3866;07.06.2015 00:46;0;0.662318278;68.36755666;15;0.662318278
3867;07.06.2015 00:46;0;0.528124605;68.3207371;15;0.528124605
3868;07.06.2015 00:46;0;0.513544551;68.2752101;15;0.513544551
3869;07.06.2015 00:46;0;0.515085283;68.22954651;15;0.515085283
3870;07.06.2015 00:47;0;0.515984528;68.1838032;15;0.515984528
3871;07.06.2015 00:47;0;0.51200673;68.13841253;15;0.51200673
3872;07.06.2015 00:47;0;0.510690877;68.09313852;15;0.510690877
3873;07.06.2015 00:47;0;0.513409361;68.04762351;15;0.513409361
3874;07.06.2015 00:48;0;0.516115526;68.00186858;15;0.516115526
3875;07.06.2015 00:48;0;0.513427939;67.95635192;15;0.513427939
3876;07.06.2015 00:48;0;0.438066225;67.91751626;15;0.438066225
3877;07.06.2015 00:48;0;0.438417589;67.87864946;15;0.438417589
3878;07.06.2015 00:49;0;0.443737367;67.83931104;15;0.443737367
3879;07.06.2015 00:49;0;0.443962551;67.79995265;15;0.443962551
3880;07.06.2015 00:49;0;0.44154654;67.76080846;15;0.44154654
3881;07.06.2015 00:49;0;0.443124204;67.7215244;15;0.443124204
3882;07.06.2015 00:50;0;0.345405166;67.69090337;15;0.345405166
3883;07.06.2015 00:50;0;0.336077437;67.66110927;15;0.336077437
3884;07.06.2015 00:50;0;0.334393908;67.63146442;15;0.334393908
3885;07.06.2015 00:50;0;0.336265886;67.60165362;15;0.336265886
3886;07.06.2015 00:51;0;0.339821625;67.57152759;15;0.339821625
3887;07.06.2015 00:51;0;0.33851949;67.54151699;15;0.33851949
3888;07.06.2015 00:51;0;0.332906118;67.51200404;15;0.332906118
3889;07.06.2015 00:51;0;0.349732934;67.48099935;15;0.349732934
3890;07.06.2015 00:52;0;0.346524294;67.45027911;15;0.346524294
3891;07.06.2015 00:52;0;0.342869308;67.41988289;15;0.342869308
3892;07.06.2015 00:52;0;0.34280394;67.38949247;15;0.34280394
3893;07.06.2015 00:52;0;0.336101333;67.35969626;15;0.336101333
3894;07.06.2015 00:53;0;0.333021788;67.33017305;15;0.333021788
3895;07.06.2015 00:53;0;0.343544459;67.29971698;15;0.343544459
3896;07.06.2015 00:53;0;0.338111063;67.26974259;15;0.338111063
3897;07.06.2015 00:53;0;0.343061697;67.23932932;15;0.343061697
3898;07.06.2015 00:54;0;0.344922669;67.20875107;15;0.344922669
3899;07.06.2015 00:54;0;0.339754061;67.17863103;15;0.339754061
3900;07.06.2015 00:54;0;0.34613557;67.14794525;15;0.34613557
3901;07.06.2015 00:54;0;0.344354083;67.11741741;15;0.344354083
3902;07.06.2015 00:55;0;0.341473876;67.0871449;15;0.341473876
3903;07.06.2015 00:55;0;0.34124773;67.05689244;15;0.34124773
3904;07.06.2015 00:55;0;0.338284769;67.02690266;15;0.338284769
3905;07.06.2015 00:55;0;0.341823553;66.99659915;15;0.341823553
3906;07.06.2015 00:56;0;0.341319583;66.96634032;15;0.341319583
3907;07.06.2015 00:56;0;0.342352757;66.9359899;15;0.342352757
3908;07.06.2015 00:56;0;0.337453748;66.90607379;15;0.337453748
3909;07.06.2015 00:56;0;0.342998946;66.87566608;15;0.342998946
3910;07.06.2015 00:57;0;0.339323456;66.84558422;15;0.339323456
3911;07.06.2015 00:57;0;0.34013022;66.81543083;15;0.34013022
3912;07.06.2015 00:57;0;0.341355871;66.78516878;15;0.341355871
3913;07.06.2015 00:57;0;0.340960314;66.7549418;15;0.340960314
3914;07.06.2015 00:58;0;0.341539238;66.7246635;15;0.341539238
3915;07.06.2015 00:58;0;0.342152146;66.69433087;15;0.342152146
3916;07.06.2015 00:58;0;0.339363243;66.66424547;15;0.339363243
3917;07.06.2015 00:58;0;0.346434827;66.63353316;15;0.346434827
3918;07.06.2015 00:59;0;0.342928049;66.60313174;15;0.342928049
3919;07.06.2015 00:59;0;0.345166363;66.57253189;15;0.345166363
3920;07.06.2015 00:59;0;0.339696313;66.54241697;15;0.339696313
3921;07.06.2015 00:59;0;0.345421148;66.51179452;15;0.345421148
3922;07.06.2015 01:00;0;0.343245279;66.48136498;15;0.343245279
3923;07.06.2015 01:00;0;0.340480315;66.45118055;15;0.340480315
3924;07.06.2015 01:00;0;0.345770443;66.42052714;15;0.345770443
3925;07.06.2015 01:00;0;0.341307881;66.39026935;15;0.341307881
3926;07.06.2015 01:01;0;0.342457562;66.35990964;15;0.342457562
3927;07.06.2015 01:01;0;0.34223882;66.32956932;15;0.34223882
3928;07.06.2015 01:01;0;0.348376294;66.2986849;15;0.348376294
3929;07.06.2015 01:01;0;0.346405617;66.26797518;15;0.346405617
3930;07.06.2015 01:02;0;0.341779768;66.23767555;15;0.341779768
3931;07.06.2015 01:02;0;0.344998922;66.20709054;15;0.344998922
3932;07.06.2015 01:02;0;0.343701447;66.17662056;15;0.343701447
3933;07.06.2015 01:02;0;0.339888588;66.14648859;15;0.339888588
3934;07.06.2015 01:03;0;0.341974651;66.11617169;15;0.341974651
3935;07.06.2015 01:03;0;0.341517189;66.08589534;15;0.341517189
3936;07.06.2015 01:03;0;0.349722462;66.05489158;15;0.349722462
3937;07.06.2015 01:03;0;0.350031879;66.02386038;15;0.350031879
3938;07.06.2015 01:04;0;0.348534888;65.9929619;15;0.348534888
3939;07.06.2015 01:04;0;0.350341679;65.96190324;15;0.350341679
3940;07.06.2015 01:04;0;0.350330455;65.93084557;15;0.350330455
3941;07.06.2015 01:04;0;0.346096531;65.90016326;15;0.346096531
3942;07.06.2015 01:05;0;0.346434604;65.86945097;15;0.346434604
3943;07.06.2015 01:05;0;0.341141925;65.83920789;15;0.341141925
3944;07.06.2015 01:05;0;0.34155348;65.80892833;15;0.34155348
3945;07.06.2015 01:05;0;0.346698414;65.77819265;15;0.346698414
3946;07.06.2015 01:06;0;0.34822136;65.74732197;15;0.34822136
3947;07.06.2015 01:06;0;0.345086073;65.71672923;15;0.345086073
3948;07.06.2015 01:06;0;0.343041996;65.6863177;15;0.343041996
3949;07.06.2015 01:06;0;0.336290509;65.65650472;15;0.336290509
3950;07.06.2015 01:07;0;0.339425549;65.6264138;15;0.339425549
3951;07.06.2015 01:07;0;0.344614948;65.59586283;15;0.344614948
3952;07.06.2015 01:07;0;0.342029223;65.56554109;15;0.342029223
3953;07.06.2015 01:07;0;0.342574051;65.53517105;15;0.342574051
3954;07.06.2015 01:08;0;0.341608836;65.50488658;15;0.341608836
3955;07.06.2015 01:08;0;0.419000621;65.46774113;15;0.419000621
3956;07.06.2015 01:08;0;0.423225377;65.43022115;15;0.423225377
3957;07.06.2015 01:08;0;0.417501019;65.39320865;15;0.417501019
3958;07.06.2015 01:09;0;0.417825524;65.35616738;15;0.417825524
3959;07.06.2015 01:09;0;0.419925041;65.31893998;15;0.419925041
3960;07.06.2015 01:09;0;0.417580071;65.28192047;15;0.417580071
3961;07.06.2015 01:09;0;0.413203562;65.24528895;15;0.413203562
3962;07.06.2015 01:10;0;0.408301954;65.20909197;15;0.408301954
3963;07.06.2015 01:10;0;0.40979128;65.17276296;15;0.40979128
3964;07.06.2015 01:10;0;0.421617257;65.13538554;15;0.421617257
3965;07.06.2015 01:10;0;0.42167516;65.09800299;15;0.42167516
3966;07.06.2015 01:11;0;0.421056056;65.06067532;15;0.421056056
3967;07.06.2015 01:11;0;0.418859963;65.02354235;15;0.418859963
3968;07.06.2015 01:11;0;0.416337012;64.98663304;15;0.416337012
3969;07.06.2015 01:11;0;0.415109786;64.94983253;15;0.415109786
3970;07.06.2015 01:12;0;0.420261458;64.9125753;15;0.420261458
3971;07.06.2015 01:12;0;0.41820276;64.87550059;15;0.41820276
3972;07.06.2015 01:12;0;0.414023467;64.83879638;15;0.414023467
3973;07.06.2015 01:12;0;0.411669554;64.80230086;15;0.411669554
3974;07.06.2015 01:13;0;0.411562364;64.76581483;15;0.411562364
3975;07.06.2015 01:13;0;0.411394006;64.72934373;15;0.411394006
3976;07.06.2015 01:13;0;0.410242156;64.69297475;15;0.410242156
3977;07.06.2015 01:13;0;0.410067327;64.65662126;15;0.410067327
3978;07.06.2015 01:14;0;0.409549855;64.62031365;15;0.409549855
3979;07.06.2015 01:14;0;0.545270753;64.57197404;15;0.545270753
3980;07.06.2015 01:14;0;0.509933101;64.52676721;15;0.509933101
3981;07.06.2015 01:14;0;0.514284356;64.48117462;15;0.514284356
3982;07.06.2015 01:15;0;0.530341492;64.43415853;15;0.530341492
3983;07.06.2015 01:15;0;0.530257274;64.38714991;15;0.530257274
3984;07.06.2015 01:15;0;0.531222387;64.34005573;15;0.531222387
3985;07.06.2015 01:15;0;0.526005439;64.29342404;15;0.526005439
3986;07.06.2015 01:16;0;0.512410955;64.24799753;15;0.512410955
3987;07.06.2015 01:16;0;0.562630398;64.19811895;15;0.562630398
3988;07.06.2015 01:16;0;0.564799022;64.14804812;15;0.564799022
3989;07.06.2015 01:16;0;0.560508824;64.09835762;15;0.560508824
3990;07.06.2015 01:17;0;0.56211613;64.04852463;15;0.56211613
3991;07.06.2015 01:17;0;0.584494239;63.99670776;15;0.584494239
3992;07.06.2015 01:17;0;0.567606632;63.94638803;15;0.567606632
3993;07.06.2015 01:17;0;0.563439057;63.89643776;15;0.563439057
3994;07.06.2015 01:18;0;0.567149738;63.84615852;15;0.567149738
3995;07.06.2015 01:18;0;0.566003621;63.7959809;15;0.566003621
3996;07.06.2015 01:18;0;0.562633012;63.74610209;15;0.562633012
3997;07.06.2015 01:18;0;0.561249288;63.69634594;15;0.561249288
3998;07.06.2015 01:19;0;0.562730964;63.64645845;15;0.562730964
3999;07.06.2015 01:19;0;0.562897035;63.59655623;15;0.562897035
4000;07.06.2015 01:19;0;0.557296079;63.54715055;15;0.557296079
4001;07.06.2015 01:19;0;0.559159644;63.49757966;15;0.559159644
4002;07.06.2015 01:20;0;0.570894712;63.44696842;15;0.570894712
4003;07.06.2015 01:20;0;0.583792128;63.3952138;15;0.583792128
4004;07.06.2015 01:20;0;0.556673481;63.34586331;15;0.556673481
4005;07.06.2015 01:20;0;0.557282845;63.29645881;15;0.557282845
4006;07.06.2015 01:21;0;0.509397549;63.25129945;15;0.509397549
4007;07.06.2015 01:21;0;0.508582566;63.20621234;15;0.508582566
4008;07.06.2015 01:21;0;0.511426352;63.16087313;15;0.511426352
4009;07.06.2015 01:21;0;0.505858178;63.11602754;15;0.505858178
4010;07.06.2015 01:22;0;0.508327482;63.07096305;15;0.508327482
4011;07.06.2015 01:22;0;0.505609623;63.0261395;15;0.505609623
4012;07.06.2015 01:22;0;0.508896713;62.98102455;15;0.508896713
4013;07.06.2015 01:22;0;0.507416633;62.9360408;15;0.507416633
4014;07.06.2015 01:23;0;0.510332271;62.89079858;15;0.510332271
4015;07.06.2015 01:23;0;0.506685174;62.84587968;15;0.506685174
4016;07.06.2015 01:23;0;0.511872499;62.80050091;15;0.511872499
4017;07.06.2015 01:23;0;0.511797312;62.75512881;15;0.511797312
4018;07.06.2015 01:24;0;0.506771523;62.71020226;15;0.506771523
4019;07.06.2015 01:24;0;0.50478411;62.66545189;15;0.50478411
4020;07.06.2015 01:24;0;0.507192569;62.62048801;15;0.507192569
4021;07.06.2015 01:24;0;0.511889617;62.57510773;15;0.511889617
4022;07.06.2015 01:25;0;0.516545833;62.52931466;15;0.516545833
4023;07.06.2015 01:25;0;0.516327502;62.48354094;15;0.516327502
4024;07.06.2015 01:25;0;0.508110226;62.43849571;15;0.508110226
4025;07.06.2015 01:25;0;0.501133512;62.39406898;15;0.501133512
4026;07.06.2015 01:26;0;0.502433247;62.34952703;15;0.502433247
4027;07.06.2015 01:26;0;0.502703505;62.30496111;15;0.502703505
4028;07.06.2015 01:26;0;0.505635495;62.26013527;15;0.505635495
4029;07.06.2015 01:26;0;0.50725877;62.21516552;15;0.50725877
4030;07.06.2015 01:27;0;0.504578756;62.17043336;15;0.504578756
4031;07.06.2015 01:27;0;0.405312156;62.13450143;15;0.405312156
4032;07.06.2015 01:27;0;0.403015208;62.09877313;15;0.403015208
4033;07.06.2015 01:27;0;0.40655558;62.06273097;15;0.40655558
4034;07.06.2015 01:28;0;0.40325648;62.02698129;15;0.40325648
4035;07.06.2015 01:28;0;0.401566514;61.99138142;15;0.401566514
4036;07.06.2015 01:28;0;0.407290702;61.95527409;15;0.407290702
4037;07.06.2015 01:28;0;0.409307884;61.91898793;15;0.409307884
4038;07.06.2015 01:29;0;0.405984611;61.88299638;15;0.405984611
4039;07.06.2015 01:29;0;0.404063434;61.84717516;15;0.404063434
4040;07.06.2015 01:29;0;0.398614152;61.81183702;15;0.398614152
4041;07.06.2015 01:29;0;0.401389013;61.77625289;15;0.401389013
4042;07.06.2015 01:30;0;0.397739894;61.74099226;15;0.397739894
4043;07.06.2015 01:30;0;0.415938501;61.70411828;15;0.415938501
4044;07.06.2015 01:30;0;0.415801525;61.66725644;15;0.415801525
4045;07.06.2015 01:30;0;0.405225422;61.6313322;15;0.405225422
4046;07.06.2015 01:31;0;0.405553868;61.59537885;15;0.405553868
4047;07.06.2015 01:31;0;0.409137754;61.55910777;15;0.409137754
4048;07.06.2015 01:31;0;0.409173344;61.52283354;15;0.409173344
4049;07.06.2015 01:31;0;0.409508778;61.48652957;15;0.409508778
4050;07.06.2015 01:32;0;0.407310483;61.45042048;15;0.407310483
4051;07.06.2015 01:32;0;0.414951556;61.413634;15;0.414951556
4052;07.06.2015 01:32;0;0.40744182;61.37751327;15;0.40744182
4053;07.06.2015 01:32;0;0.408467584;61.3413016;15;0.408467584
4054;07.06.2015 01:33;0;0.408397604;61.30509614;15;0.408397604
4055;07.06.2015 01:33;0;0.407517641;61.26896869;15;0.407517641
4056;07.06.2015 01:33;0;0.40130349;61.23339214;15;0.40130349
4057;07.06.2015 01:33;0;0.407075659;61.19730387;15;0.407075659
4058;07.06.2015 01:34;0;0.404691504;61.16142697;15;0.404691504
4059;07.06.2015 01:34;0;0.407821419;61.12527258;15;0.407821419
4060;07.06.2015 01:34;0;0.405041407;61.08936466;15;0.405041407
4061;07.06.2015 01:34;0;0.402616563;61.0536717;15;0.402616563
4062;07.06.2015 01:35;0;0.394210213;61.01872399;15;0.394210213
4063;07.06.2015 01:35;0;0.397973754;60.98344263;15;0.397973754
4064;07.06.2015 01:35;0;0.403119687;60.94770506;15;0.403119687
4065;07.06.2015 01:35;0;0.402673713;60.91200704;15;0.402673713
4066;07.06.2015 01:36;0;0.403102504;60.876271;15;0.403102504
4067;07.06.2015 01:36;0;0.406880587;60.84020003;15;0.406880587
4068;07.06.2015 01:36;0;0.407018391;60.80411684;15;0.407018391
